MODE,FRAME,YAW,PITCH,ROLL,YAWm,PITCHm,ROLLm,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,TEMP_F,FRAME_TIME_S,FRAME_TIME_MS,FRAME_TIME_US,INT_TIME_S,INT_TIME_MS,INT_TIME_US
RUN MODE,86,-164.38969,2.62934,-0.16101,0,0,0,-0.04712,-0.00278,0.99634,0.0229,-0.03664,0.02748,626.03125,3581.25,3355.10962,78.9027,0,3,495,0,30,0
RUN MODE,87,-164.38721,2.68003,-0.17514,0,0,0,-0.04736,-0.00322,0.996,0.02443,-0.04122,0.03206,642.38281,3574.21875,3334.78906,78.90594,0,3,434,0,30,0
RUN MODE,88,-164.38617,2.68542,-0.16756,0,0,0,-0.04668,-0.00273,0.99517,0.02595,-0.04275,0.02443,651.72656,3592.96875,3352.85156,78.9081,0,3,406,0,29,998
RUN MODE,89,-164.38396,2.68166,-0.18149,0,0,0,-0.04639,-0.00332,0.99302,0.02443,-0.03206,0.02748,654.0625,3600,3359.625,78.90917,0,3,405,0,29,998
RUN MODE,90,-164.38208,2.63449,-0.18892,0,0,0,-0.04482,-0.00332,0.99219,0.03511,-0.03359,0.02748,649.39062,3585.9375,3364.14062,78.90917,0,3,406,0,30,0
RUN MODE,91,-164.38135,2.60811,-0.16968,0,0,0,-0.04468,-0.00254,0.9915,0.04275,-0.03053,0.02901,651.72656,3569.53125,3357.36719,78.90594,0,3,407,0,29,998
RUN MODE,92,-164.381,2.57645,-0.1438,0,0,0,-0.04424,-0.002,0.99575,0.03817,-0.02748,0.02748,642.38281,3574.21875,3366.39868,78.90379,0,3,399,0,29,999
RUN MODE,93,-164.37939,2.55289,-0.14708,0,0,0,-0.04395,-0.00254,0.99502,0.03359,-0.01832,0.02595,670.41406,3546.09375,3348.33594,78.90055,0,3,551,0,29,998
RUN MODE,94,-164.37737,2.51629,-0.15825,0,0,0,-0.04331,-0.00288,0.99995,0.03053,-0.01832,0.02748,679.75781,3541.40625,3361.88257,78.89839,0,3,495,0,30,3
RUN MODE,95,-164.37523,2.54358,-0.16428,0,0,0,-0.04478,-0.00293,0.99888,0.01527,-0.02137,0.03206,679.75781,3532.03125,3361.88257,78.89947,0,3,504,0,29,999
RUN MODE,96,-164.37166,2.53836,-0.19862,0,0,0,-0.04424,-0.004,1.00049,0.01069,-0.01527,0.03511,684.42969,3541.40625,3357.36719,78.89732,0,3,419,0,29,997
RUN MODE,97,-164.36801,2.56151,-0.22258,0,0,0,-0.04517,-0.00425,1.00161,0.01527,-0.01069,0.04427,696.10938,3539.0625,3350.59351,78.89732,0,3,378,0,29,998
RUN MODE,98,-164.3636,2.5923,-0.25217,0,0,0,-0.04585,-0.00488,1.0019,0.00305,-0.00763,0.05191,672.75,3553.125,3337.04688,78.89732,0,3,426,0,29,998
RUN MODE,99,-164.36101,2.66607,-0.23291,0,0,0,-0.04771,-0.00371,0.99854,0.01527,0.00305,0.05954,661.07031,3555.46875,3325.75781,78.89839,0,3,532,0,29,999
RUN MODE,100,-164.35724,2.66983,-0.23672,0,0,0,-0.04673,-0.0041,1.0001,0.04427,0.01527,0.0626,670.41406,3560.15625,3339.30444,78.893,0,3,532,0,29,998
RUN MODE,101,-164.35286,2.68865,-0.24699,0,0,0,-0.04731,-0.0043,0.99897,0.0855,0.04733,0.07023,654.0625,3557.8125,3364.14062,78.89192,0,3,412,0,29,995
RUN MODE,102,-164.34703,2.69084,-0.28738,0,0,0,-0.04702,-0.00518,0.99292,0.22748,0.16031,0.07786,658.73438,3557.8125,3364.14062,78.893,0,3,460,0,30,0
RUN MODE,103,-164.34428,2.67255,-0.25505,0,0,0,-0.04683,-0.00288,0.99502,0.51145,0.33893,0.09771,661.07031,3564.84375,3361.88257,78.89516,0,3,447,0,29,999
RUN MODE,104,-164.33655,2.62168,-0.3199,0,0,0,-0.04575,-0.00522,0.99624,0.69313,0.48092,0.1145,665.74219,3555.46875,3361.88257,78.89839,0,3,417,0,30,1
RUN MODE,105,-164.32878,2.60318,-0.36609,0,0,0,-0.04648,-0.00508,0.99731,1.01985,0.72061,0.14656,656.39844,3569.53125,3348.33594,78.9027,0,3,513,0,29,997
RUN MODE,106,-164.32065,2.60124,-0.39296,0,0,0,-0.04761,-0.004,0.99736,1.63359,1.16336,0.19847,665.74219,3564.84375,3343.82056,78.90702,0,3,468,0,30,0
RUN MODE,107,-164.3168,2.61999,-0.31886,0,0,0,-0.04897,-0.00015,0.99761,2.09771,1.50992,0.22748,644.71875,3576.5625,3355.10962,78.90702,0,3,399,0,30,1
RUN MODE,108,-164.31042,2.63485,-0.30153,0,0,0,-0.04932,-0.00063,0.99673,2.16336,1.60458,0.22901,647.05469,3569.53125,3361.88257,78.9081,0,3,372,0,29,996
RUN MODE,109,-164.30556,2.63203,-0.24808,0,0,0,-0.04932,0.00132,0.99731,2.38168,1.75878,0.24275,640.04688,3581.25,3359.625,78.90702,0,3,579,0,30,8
RUN MODE,110,-164.30122,2.66709,-0.16576,0,0,0,-0.05103,0.00386,0.99653,2.70076,2.01985,0.27023,633.03906,3588.28125,3361.88257,78.90379,0,3,622,0,29,993
RUN MODE,111,-164.29852,2.70329,-0.0518,0,0,0,-0.05181,0.00645,0.99438,2.7542,2.14198,0.27023,626.03125,3590.625,3346.07812,78.9027,0,3,441,0,29,999
RUN MODE,112,-164.29251,2.68426,-0.00775,0,0,0,-0.05093,0.00615,0.9959,2.78626,2.27786,0.27023,628.36719,3588.28125,3325.75781,78.90594,0,3,422,0,29,998
